,26_08_2016,,,,2_09_2016,,,,6_9_206,,,,9_9_2016,,,,23_9_2016,,,,27_9_2016,,,,7_10_2016,,,,11_10_2016,,,,14_10_2016,,,,21_10_2016,,,,24_10_2016,,,,28_10_2016,,,,1_11_2016,,,,4_11_2016,,,,8_11_2016,,,,11_11_2016,,,,15_11_2016,,,,18_11_2016,,,,25_11_2016,,,,29_11_2016,,,,2_12_2016,,,
,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE
1,1124,1003,4766,4828,903,830,4705,4685,867.3008371,807.3709576,4755.477498,4726.226615,745.9086201,860.8260295,4932.346173,4875.707293,645.6998068,848.8254508,4702.760259,4588.858096,766.6653434,881.9280354,4670.916126,4667.530619,748.3634803,930.470568,4670.558414,4617.487236,834.2187754,1036.05289,4771,4771,1010.741401,1085.897773,4868.023723,4829.130125,934.2373034,1115.178918,4924.835063,4864.538546,891.6693136,994.1442774,4799.732903,4739.629324,797.1799918,1081.830148,4860.374277,4793.600002,822.1736624,935.3178902,4864.057905,4743.48041,821.662748,1010.462278,4807.099483,4686.341154,907.2681596,1084.390756,4783.765079,4723.320821,896.8161187,1078.266464,4770.914124,4603.449489,964.4372793,1013.94425,4846.244312,4738.599606,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4787,4711
2,1081,960,4818,4939,903,830,4705,4685,820.1687118,920.5089851,4795.940537,4756.793032,724.2967705,844.0824971,4917.445165,4715.247612,572.6875891,823.2597838,4624.768262,4530.940172,668.265753,953.8140374,4658.515068,4577.305502,779.3355826,929.9196594,4647.816486,4626.795656,834.2187754,1036.05289,4771,4771,963.8234015,1053.482204,4921.168002,4874.961791,927.2816637,1026.084977,4940.722602,4904.438167,891.6693136,994.1442774,4799.732903,4739.629324,797.1799918,1081.830148,4860.374277,4793.600002,829.6241856,911.1656031,4879.765543,4766.826415,821.662748,1010.462278,4807.099483,4686.341154,907.2681596,1084.390756,4783.765079,4723.320821,896.8161187,1078.266464,4770.914124,4603.449489,964.4372793,1013.94425,4846.244312,4738.599606,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
3,1093,984,4866,4925,903,830,4705,4685,795.6364101,904.9486023,4760.160097,4765.478906,738.1789263,856.6426282,4915.166818,4860.641737,675.0086301,838.2776117,4632.595027,4577.560539,754.8281735,820.0792138,4665.781627,4665.553029,779.3355826,929.9196594,4647.816486,4626.795656,834.2187754,1036.05289,4771,4771,963.8234015,1053.482204,4921.168002,4874.961791,927.2816637,1026.084977,4940.722602,4904.438167,891.6693136,994.1442774,4799.732903,4739.629324,797.1799918,1081.830148,4860.374277,4793.600002,829.6241856,911.1656031,4879.765543,4766.826415,821.662748,1010.462278,4807.099483,4686.341154,907.2681596,1084.390756,4783.765079,4723.320821,896.8161187,1078.266464,4770.914124,4603.449489,964.4372793,1013.94425,4846.244312,4738.599606,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
4,1129,1024,4814,4814,903,830,4705,4685,880,880,4809.758955,4775.477646,711.6132028,867.333038,4930.315574,4798.578991,664.6258428,858.4503535,4625.724618,4571.421991,748.1483657,938.5453817,4663.52518,4621.201412,758.5983743,953.2374591,4695.778779,4635.457503,834.2187754,1036.05289,4771,4771,931.2260511,1128.195176,4923.790865,4863.511893,927.2816637,1026.084977,4940.722602,4904.438167,891.6693136,994.1442774,4799.732903,4739.629324,838.1217689,1112.512166,4879.012784,4758.700286,829.6241856,911.1656031,4879.765543,4766.826415,821.662748,1010.462278,4807.099483,4686.341154,907.2681596,1084.390756,4783.765079,4723.320821,923.4390866,1083.092277,4789.614765,4684.261952,952.5479439,1025.684952,4916.99703,4736.638124,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
5,1080,1020,4768,4829,903,830,4705,4685,873,873,4801.489808,4816.291862,760.7540229,842.2373969,4867.155618,4889.131352,611.1817664,841.7405808,4568,4568,724.5828048,950.608235,4641.983566,4620.56206,739.8173285,958.2518018,4700.78626,4640.407901,834.2187754,1036.05289,4771,4771,962.3298436,1128.945555,4901.819025,4841.432643,878.2850852,1055.598907,4964.735765,4904.456276,891.6693136,994.1442774,4799.732903,4739.629324,838.1217689,1112.512166,4879.012784,4758.700286,848.2951203,989.0438236,4776.843149,4716.43862,806.5793015,992.2493206,4726.97031,4606.352881,901.7678505,1073.753397,4779.745615,4719.374972,923.4390866,1083.092277,4789.614765,4684.261952,957.8029799,1064.002024,4799.776759,4739.27027,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
6,1098,996,4866,4866,903,830,4705,4685,877,877,4769.692732,4768.449373,734.8647575,830.4660883,4874.062036,4852.893748,628.744508,857.5340524,4557,4557,709.8920725,923.9466153,4621.296546,4631.41448,795.1221632,942.8273638,4638.590713,4618.825873,834.2187754,1036.05289,4771,4771,1004.002143,1094.796916,4866.744737,4806.457594,878.2850852,1055.598907,4964.735765,4904.456276,891.6693136,994.1442774,4799.732903,4739.629324,838.1820323,1079.969428,4836.006587,4789.321132,848.2951203,989.0438236,4776.843149,4716.43862,806.5793015,992.2493206,4726.97031,4606.352881,939.6017953,1065.922887,4729.280582,4731.780636,923.4390866,1083.092277,4789.614765,4684.261952,943.6460102,1059.999816,4783.666342,4723.695284,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
7,1107,976,4811,4846,903,830,4705,4685,860.7571739,921.1176253,4766.772153,4830.011363,753.633376,846.6395235,4937.912568,4799.738394,644.2108813,841.3964513,4613.494461,4548.476586,771.6885639,893.6261566,4644.52238,4632.093801,765.2610934,955.0762715,4694.753254,4634.377031,834.2187754,1036.05289,4771,4771,1040.619863,957.2897451,4843,4843,878.2850852,1055.598907,4964.735765,4904.456276,936.6692398,1039.139189,4764,4764,838.1820323,1079.969428,4836.006587,4789.321132,848.2951203,989.0438236,4776.843149,4716.43862,822.1317138,1015.070722,4767.975997,4647.44426,985.9393132,1072.635713,4751.67722,4745.416163,923.4390866,1083.092277,4789.614765,4684.261952,1129.581622,1102,4835.7836,4671.206328,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
8,1089,966,4819,4935,903,830,4705,4685,832.0779229,895.7252101,4749.06859,4733.535411,752.7879951,887.0423222,4893.491226,4789.301754,605.3850312,852.4473369,4551,4551,760.3905266,909.9370143,4676.621403,4671.614976,765.2610934,955.0762715,4694.753254,4634.377031,912.9116277,1088.198904,4823.640711,4763.515275,1040.619863,957.2897451,4843,4843,936.6130181,1109.32744,4989.198454,4868.527827,936.6692398,1039.139189,4764,4764,851.0324978,1103.472685,4833.809104,4773.454148,848.4162437,995.0862806,4827.944613,4707.4932,837.4621016,927.6995221,4768.960665,4648.339828,958,1136.431362,4727.435387,4674.68655,818.6571481,1130.085689,4777.157667,4656.06533,950,1101.490599,4822.07639,4701.388493,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
9,1138,986,4828,4828,903,830,4705,4685,892.2937257,832.2264048,4774.602152,4781.647941,772.5523752,883.121523,4902.838256,4758.788899,575.5313962,897.063411,4577.490156,4590.331635,741.7511962,954.3264883,4606.047289,4612.575193,794.9153219,962.0418712,4678.187468,4601.492745,912.9116277,1088.198904,4823.640711,4763.515275,1043.006328,1113.777418,4861.164224,4849.561468,936.6130181,1109.32744,4989.198454,4868.527827,936.6692398,1039.139189,4764,4764,851.0324978,1103.472685,4833.809104,4773.454148,848.4162437,995.0862806,4827.944613,4707.4932,808.0914018,956.8931713,4791.918213,4610.838466,903.3340934,1077.591411,4727.641602,4667.600277,818.6571481,1130.085689,4777.157667,4656.06533,975.7273404,1068.835023,4849.121094,4728.375026,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
