,Plant height (cms),,,,,,,,,,,,,,,,,,,,,,,,,,
Plot #,26_8,02_9,06_9,09_9,21_9,23_9,27_9,7_10,11_10,14_10,21_10,24_10,28_10,1_11,4_11,8_11,11_11,15_11,18_11,25_11,29_11,2_12,,,,,
1,22,29,32,34,40,38,45,51,56,61,74,76,79,83,81,79,80,79,82,78,82,81,,,,,
2,20,25,32,37,47,51,47,59,60,64,80,85,86,92,94,93,92,91,91,88,89,91,,,,,
3,17,24,27,29,46,49,57,67,67,74,80,85,82,88,86,90,87,84,88,84,87,85,,,,,
4,26,31,37,39,45,45,52,61,66,73,90,92,91,89,94,93,93,93,93,88,89,87,,,,,
5,21,25,31,31,39,44,45,63,61,66,76,79,89,88,92,91,90,90,90,87,85,87,,,,,
6,23,29,33,29,44,42,48,53,60,64,81,83,85,85,88,86,85,84,85,84,84,83,,,,,
7,29,36,38,40,51,52,57,69,67,66,81,84,84,84,85,87,84,84,86,84,86,87,,,,,
8,31,26,33,35,43,45,52,69,65,68,79,85,90,88,90,91,91,91,89,85,86,85,,,,,
9,21,18,26,26,35,41,48,59,58,61,75,77,81,82,81,79,82,83,81,79,81,80,,,,,
10,19,24,25,32,38,44,50,61,63,64,76,78,82,79,82,84,86,85,81,81,83,87,,,,,
11,22,32,37,38,47,51,50,63,65,70,84,86,91,88,91,90,93,90,89,89,87,86,,,,,
12,21,27,34,35,44,47,53,61,66,67,79,80,83,84,85,83,84,82,84,83,82,85,,,,,
13,20,28,33,37,42,53,54,65,68,70,84,91,90,94,95,92,94,93,91,90,90,91,,,,,
14,25,24,29,34,42,45,47,63,66,66,85,90,87,90,90,91,92,91,91,88,88,89,,,,,
15,21,27,32,31,38,39,44,56,59,61,78,81,87,88,87,88,90,86,87,90,89,88,,,,,
16,27,31,31,37,43,48,47,60,62,67,75,83,83,85,84,85,87,86,84,86,84,85,,,,,
17,23,26,28,33,40,48,46,62,68,71,80,85,97,98,100,97,101,99,97,95,96,96,,,,,
18,20,27,31,33,42,53,45,63,65,66,82,87,89,89,92,87,92,92,90,89,89,87,,,,,
19,26,28,35,32,45,43,55,58,59,62,75,77,82,83,85,81,85,83,85,82,81,83,,,,,
20,25,23,27,29,36,41,46,57,57,62,75,81,85,84,86,85,87,87,83,85,85,87,,,,,
21,24,34,33,41,43,48,52,64,63,66,76,82,90,89,86,87,87,86,86,90,86,86,,,,,
22,30,28,37,37,43,52,51,64,68,73,91,93,99,95,96,94,98,97,94,94,90,92,,,,,
23,14,20,25,27,38,46,40,58,64,66,76,75,83,80,78,82,85,84,82,84,85,83,,,,,
24,23,21,28,30,35,44,50,57,60,63,75,77,76,80,76,80,80,77,78,77,79,80,,,,,
25,22,19,19,31,33,33,41,49,53,54,66,69,80,81,80,80,83,81,82,81,83,83,,,,,
26,19,23,32,32,37,36,46,55,56,58,71,80,83,83,84,83,86,85,86,84,83,87,,,,,
27,18,30,36,39,51,54,63,69,73,73,93,95,97,101,100,100,102,102,102,100,96,97,,,,,
28,22,26,24,33,42,45,50,60,67,63,79,79,83,85,82,83,81,83,84,83,81,82,,,,,
29,27,19,24,27,33,34,45,52,65,61,67,77,81,88,87,88,90,93,85,93,93,89,,,,,
30,29,30,28,31,35,41,42,61,57,64,77,79,83,86,86,85,83,86,84,86,85,88,,,,,
31,20,29,34,37,45,49,60,68,72,68,91,94,95,97,94,93,96,95,95,92,89,88,,,,,
32,17,25,29,31,41,43,45,64,71,70,82,80,89,91,90,85,92,85,88,84,85,84,,,,,
33,20,23,32,34,44,42,51,61,64,64,79,82,89,92,88,88,88,89,87,87,84,84,,,,,
34,27,22,21,29,35,37,41,48,56,56,73,79,78,81,80,80,81,80,80,82,80,83,,,,,
35,27,27,32,28,45,41,56,61,70,72,77,84,93,99,98,100,98,100,99,96,98,95,,,,,
36,18,33,29,36,43,48,51,61,66,66,79,83,88,87,88,84,87,87,86,87,84,85,,,,,
37,25,25,30,30,41,48,51,60,65,69,79,80,89,90,89,88,93,91,89,86,90,88,,,,,
38,20,29,36,35,42,51,55,63,67,71,87,94,93,98,96,98,98,97,96,96,96,95,,,,,
39,20,31,32,26,34,41,47,58,58,61,72,74,78,81,84,81,85,81,82,86,82,84,,,,,
40,23,23,24,29,32,36,42,46,50,56,61,64,78,80,78,80,77,77,81,81,81,82,,,,,
41,19,30,38,40,43,45,53,62,67,71,85,87,92,88,92,92,95,94,91,92,92,91,,,,,
42,20,29,32,37,47,48,53,61,60,70,82,83,86,89,89,87,89,91,92,90,91,93,,,,,
43,22,23,27,30,38,42,42,59,56,60,75,81,86,84,84,84,85,88,86,86,86,85,,,,,
44,25,26,24,31,39,48,50,64,63,65,80,82,87,84,85,84,85,87,88,85,85,86,,,,,
45,14,30,29,38,41,43,47,63,61,66,78,79,85,84,83,84,84,82,85,83,85,85,,,,,
46,20,21,30,33,42,43,48,64,66,71,79,81,92,92,93,83,93,93,94,91,92,93,,,,,
47,19,26,29,33,36,38,44,55,55,59,70,73,83,82,79,82,82,84,85,84,83,85,,,,,
